GEOID20,route
060375433051079,205  
060372970011017,550  
060371066032006,236  
060371066411016,236  
060371064072001,234  
060373019022012,90  
060371153014004,166  
060377023004011,806 
060371233011006,163  
060375320011011,18  
060371345223009,163  
060375359012010,117  
060375421041019,125  
060371942001019,2  
060372322002004,105  
060371925201003,10  
060371952012007,175  
060371913011001,2  
060374825031006,70  
060377009014031,16  
060372325004004,108  
060379800281049,117  
060376021042007,120  
060376203053018,126  
060372371013002,110  
060371278031007,233  
060378003385003,161  
060376009022005,607  
060376009023001,111  
060375707012006,265  
060372969023006,205  
060373018012009,92  
060376704161001,344  
060372712001000,734  
060371114022011,236  
060373016011003,92  
060371998012010,251  
060375356032018,60  
060374613004007,180  
060374810021003,78  
060372381003000,207  
060371061111015,234  
060372733003009,733  
060372410013003,53  
060372427001003,120  
060375544051013,130  
060371201071000,237  
060375326072020,108  
060372653012007,2  
060375539023005,128  
060375313022004,66  
060372264203006,55  
060372060512021,18  
060377026002007,110  
060372167003015,217  
060372677002009,806 
060375305002005,106  
060375334022000,108  
060372737003006,33  
060375513002010,127  
060376011002011,117  
060375028014003,62  
060375539012006,128  
060376030082004,125  
060375422001015,128  
060376200011003,232  
060375722013007,801 
060372380003011,207  
060372149031000,14  
060375521002016,62  
060375426022012,801 
060372186002001,35  
060372162022005,30  
060377023005010,806 
060375437012001,246  
060375552113010,62  
060371021031009,92  
060371813001006,28  
060371437002002,237  
060375357012007,611  
060375719003018,60  
060379800331071,246  
060371909013000,207  
060372739023008,33  
060375413001023,205  
060376203013014,232  
060375515023008,265  
060375517001010,265  
060377029001002,108  
060372405004001,45  
060372406001002,10  
060372400102004,10  
060375416032008,125  
060375540021005,128  
060376201012005,625  
060376021042014,40  
060375401021003,612  
060372400201008,10  
060375507005011,111  
060379800311004,246  
060372770002002,115  
060371095001017,230  
060371172021003,167  
060371096014007,158  
060371411022014,150  
060375361041005,115  
060374329012010,266  
060374819022013,258  
060377032006023,108  
060373109002006,154  
060374617001006,267  
060371251021009,230  
060371375022010,150  
060372110004007,212  
060376003042008,120  
060376206023003,130  
060377018011001,4  
060373103002000,92  
060371211023009,152  
060371193411001,166  
060371174043005,237  
060371172021006,167  
060371203002002,169  
060371132312005,152  
060372652041016,788  
060372760005004,102  
060374044012015,804 
060373025051007,92  
060378001012015,161  
060372267012001,51  
060374332001001,268  
060377026002000,110  
060371152031001,150  
060371898011003,2  
060372060201001,78  
060372214011007,209  
060375433212015,53  
060374338042001,176  
060373111003015,154  
060374613004005,180  
060377031005008,212  
060377028013003,33  
060372044101000,106  
